side_a_device,side_a_type,side_a_name,side_b_device,side_b_type,side_b_name,status,type,length,length_unit
switch-access-rack1-1 - EMC S5224,dcim.powerport,p1,C07 - PDU - line1,dcim.poweroutlet,output1,planned,power,2,m
switch-access-rack1-1 - EMC S5224,dcim.powerport,p2,C07 - PDU - line2,dcim.poweroutlet,output1,planned,power,2,m
switch-mgmt-rack1 - S3148,dcim.powerport,p1,C07 - PDU - line1,dcim.poweroutlet,output2,planned,power,2,m
switch-mgmt-rack1 - S3148,dcim.powerport,p2,C07 - PDU - line2,dcim.poweroutlet,output2,planned,power,2,m
front-rack1 - R640 - 4 disks,dcim.powerport,p1,C07 - PDU - line1,dcim.poweroutlet,output3,planned,power,2,m
front-rack1 - R640 - 4 disks,dcim.powerport,p2,C07 - PDU - line2,dcim.poweroutlet,output3,planned,power,2,m
monitor-rack1-1 - R640 - no disks,dcim.powerport,p1,C07 - PDU - line1,dcim.poweroutlet,output4,planned,power,2,m
monitor-rack1-1 - R640 - no disks,dcim.powerport,p2,C07 - PDU - line2,dcim.poweroutlet,output4,planned,power,2,m
osd-rack1-1 - R740xd,dcim.powerport,p1,C07 - PDU - line1,dcim.poweroutlet,output5,planned,power,2,m
osd-rack1-1 - R740xd,dcim.powerport,p2,C07 - PDU - line2,dcim.poweroutlet,output5,planned,power,2,m
osd-rack1-2 - R740xd,dcim.powerport,p1,C07 - PDU - line1,dcim.poweroutlet,output6,planned,power,2,m
osd-rack1-2 - R740xd,dcim.powerport,p2,C07 - PDU - line2,dcim.poweroutlet,output6,planned,power,2,m
osd-rack1-3 - R740xd,dcim.powerport,p1,C07 - PDU - line1,dcim.poweroutlet,output7,planned,power,2,m
osd-rack1-3 - R740xd,dcim.powerport,p2,C07 - PDU - line2,dcim.poweroutlet,output7,planned,power,2,m
osd-rack1-4 - R740xd,dcim.powerport,p1,C07 - PDU - line1,dcim.poweroutlet,output8,planned,power,2,m
osd-rack1-4 - R740xd,dcim.powerport,p2,C07 - PDU - line2,dcim.poweroutlet,output8,planned,power,2,m
osd-rack1-5 - R740xd,dcim.powerport,p1,C07 - PDU - line1,dcim.poweroutlet,output9,planned,power,2,m
osd-rack1-5 - R740xd,dcim.powerport,p2,C07 - PDU - line2,dcim.poweroutlet,output9,planned,power,2,m
osd-rack1-6 - R740xd,dcim.powerport,p1,C07 - PDU - line1,dcim.poweroutlet,output10,planned,power,2,m
osd-rack1-6 - R740xd,dcim.powerport,p2,C07 - PDU - line2,dcim.poweroutlet,output10,planned,power,2,m
osd-rack1-7 - R740xd,dcim.powerport,p1,C07 - PDU - line1,dcim.poweroutlet,output11,planned,power,2,m
osd-rack1-7 - R740xd,dcim.powerport,p2,C07 - PDU - line2,dcim.poweroutlet,output11,planned,power,2,m
osd-rack1-8 - R740xd,dcim.powerport,p1,C07 - PDU - line1,dcim.poweroutlet,output12,planned,power,2,m
osd-rack1-8 - R740xd,dcim.powerport,p2,C07 - PDU - line2,dcim.poweroutlet,output12,planned,power,2,m
osd-rack1-9 - R740xd,dcim.powerport,p1,C07 - PDU - line1,dcim.poweroutlet,output13,planned,power,2,m
osd-rack1-9 - R740xd,dcim.powerport,p2,C07 - PDU - line2,dcim.poweroutlet,output13,planned,power,2,m
osd-rack1-10 - R740xd,dcim.powerport,p1,C07 - PDU - line1,dcim.poweroutlet,output14,planned,power,2,m
osd-rack1-10 - R740xd,dcim.powerport,p2,C07 - PDU - line2,dcim.poweroutlet,output14,planned,power,2,m
